,No.,Title,Author,Size,Year,Category,Description
1,279,Chicago in 1812. (G4104.C4 1812.C4), ,"4""x7.25"" (2 copies)",1812,Chicago," In
  manila folder with 0956. Map of
  early settlement.  Marks Ft. Dearborn,
  Kinzie home, Indian encampment, Lee's Place, lakeside sand dunes. Gift:
  Newberry Library 6/70"
2,956,Chicago in 1812. (G4104.1812 K6.18--), ,"4""x7.25""",1812,Chicago," In
  manila folder with 0279. Map of
  pre-settlement Chicago.  Marks Indian
  trail, agency house, and fort along lakeshore. From
  ""Massacre of Chicago"" by Mrs. John H. Kinzie. ""Ellis &
  Fergus, Chicago, 1844"" Gift
  from Newberry Library"
3,1000,Chicago in 1812. (G4104.C4 1812.A5 1884), ,"5""x7.75""",1812,Chicago," In
  manila folder with 1001, 1002 Map of
  pre-settlement Chicago.  Marks Indian
  trail, agency house, and fort along lakeshore. Gift:
  Newberry Library 6/70"
4,1001,"Chicago in 1812. (G4104.C4 1812.A5 1884- marked
  copy 1)", ,"3.75""x8.5""",1812,Chicago," In
  manila folder with 1000, 1002 Map of
  pre-settlement Chicago.  Marks Indian
  trail, agency house, and fort along lakeshore. From:
  Andreas 1:81 Gift:
  Newberry Library 6/70"
5,1002,"Chicago in 1812(G4104.C4 1812.A5 1884- marked
  copy 2)", ,"Posted on board.
  6.25""x3.5""",1812,Chicago," In
  manila folder with 1001, 1000 Map of
  pre-settlement Chicago.  Marks Indian
  trail, agency house, and fort along lakeshore."
6,no number,"A Map of the Town of Chicago
  (G4104.C4.1830.T4.1840)","Thompson, James","On mount. 24""x34""",1830,Chicago," Original
  copy. Chicago
  on 8/4/1830.  Shows numbered plots with
  owners.  E to Dearborn, W to Jefferson,
  N to Kinzie, S. to Washington. Signed
  and certified by commissioner of Illinois & Michigan canal, 5/29/1837 Scale:
  1 inch = 160 ft. Gift:
  P.W. Kunning, Chicago Assoc. of Commerce & Industry, 3/1954"
7,296,A Map of the Town of Chicago (G4104.C4 1830),"Thompson, James","Laminated. In manila folder.
  10""x14""",1830,Chicago," N to
  Kinzie, S to Madison, E to State, W to Des Plaines.  Shows lot numbers, marks reserved
  lots.  Scale of 160 ft. to 1 inch. ICH-34284  "
8,601,Map of Chicago in 1830,"Andreas, A.F.",On black mount.,1830,Chicago," Map:16.5""x11.5"" Mount:19.5""x14"" Marks
  tracts of land and names owners, taken from ""Book of Original
  Entry.""  Shows streets laid out
  after 1830.  W to Western, N to
  Fullerton, S. to 39th. Gift of
  Joseph T. Ryerson, 1848"
9,1003,Chicago (G4104.C4 1830.A6),"Thompson, James","Laminated,
  16.25""x20.5""",1830,Chicago," Chicago
  to 1833.  Shows numbered plots with
  owners.  E to Dearborn, W to Jefferson,
  N to Kinzie, S. to Washington. Copy of
  Thompson's original map which was burned in the fire.  Property owner names added. Scale:
  240 ft. to 1 inch."
10,1004,Chicago in 1830. (G4104.C4.1830.A5.1884a),"Thompson, James","In manila folder, with plastic
  sleeve. 4.75""x7""",1830,Chicago," N to
  Kinzie, S to Madison, E to State, W to Des Plaines.  Shows lot numbers, marks reserved lots.
  Folder contains 2 pgs. of information on map."
